"Date","Time","Open","High","Low","Close","Vol","OI"
05/05/1999,17:00,117.53,117.53,117.53,117.53,0,0
05/06/1999,17:00,116.86,116.86,116.86,116.86,0,0
05/07/1999,17:00,116.90,116.90,116.90,116.90,0,0
05/10/1999,17:00,116.57,116.57,116.57,116.57,0,0
05/11/1999,17:00,116.76,116.76,116.76,116.76,0,0
05/12/1999,17:00,117.12,117.12,117.12,117.12,0,0
05/13/1999,17:00,117.69,117.69,117.69,117.69,0,0
05/14/1999,17:00,116.77,116.77,116.77,116.77,0,0
05/17/1999,17:00,115.62,115.62,115.62,115.62,0,0
05/18/1999,17:00,118.43,118.43,118.43,118.43,0,0
05/19/1999,17:00,117.95,117.95,117.95,117.95,0,0
05/20/1999,17:00,118.86,118.86,118.86,118.86,0,0
05/21/1999,17:00,118.43,118.43,118.43,118.43,0,0
05/24/1999,17:00,116.94,116.94,116.94,116.94,0,0
05/25/1999,17:00,117.55,117.55,117.55,117.55,0,0
05/26/1999,17:00,118.25,118.25,118.25,118.25,0,0
05/27/1999,17:00,117.39,117.39,117.39,117.39,0,0
05/28/1999,17:00,117.98,117.98,117.98,117.98,0,0
06/01/1999,17:00,114.57,114.57,114.57,114.57,0,0
06/02/1999,17:00,116.33,116.33,116.33,116.33,0,0
06/03/1999,17:00,116.06,116.06,116.06,116.06,0,0
06/04/1999,17:00,116.26,116.26,116.26,116.26,0,0
06/07/1999,17:00,116.85,116.85,116.85,116.85,0,0
06/08/1999,17:00,116.93,116.93,116.93,116.93,0,0
06/09/1999,17:00,116.61,116.61,116.61,116.61,0,0
06/10/1999,17:00,115.47,115.47,115.47,115.47,0,0
06/11/1999,17:00,115.45,115.45,115.45,115.45,0,0
06/14/1999,17:00,114.59,114.59,114.59,114.59,0,0
06/15/1999,17:00,116.26,116.26,116.26,116.26,0,0
06/16/1999,17:00,117.25,117.25,117.25,117.25,0,0
06/17/1999,17:00,118.41,118.41,118.41,118.41,0,0
06/18/1999,17:00,119.47,119.47,119.47,119.47,0,0
06/21/1999,17:00,119.09,119.09,119.09,119.09,0,0
06/22/1999,17:00,118.74,118.74,118.74,118.74,0,0
06/23/1999,17:00,119.44,119.44,119.44,119.44,0,0
06/24/1999,17:00,118.36,118.36,118.36,118.36,0,0
06/25/1999,17:00,118.48,118.48,118.48,118.48,0,0
06/28/1999,17:00,119.04,119.04,119.04,119.04,0,0
06/29/1999,17:00,118.08,118.08,118.08,118.08,0,0
