<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <AvgExp>, <AvgExp>, <%K>, <%D>, <ROC>, <ZeroLine>, <RSI>, <OverBot>, <OverSld>, <ACCUMULATION_DISTRIBUTION>, <MACD>, <MACDAvg>, <MACDDiff>, <ZeroLine>, <WILLIAMS_R>, <HIGH_PRICE_ACCELERATION>, <DISPARITY_5>, <DISPARITY_10>
2/24/2000,16:00:00,1367.00,1370.00,1331.00,1355.50,30375,1378.35,1420.48,17.77,31.69,-4.27,0.00,34.24,70.00,30.00,0.15,-20.60,-15.25,-5.34,0.00,74.35,-5.96,99.56,98.07
2/25/2000,16:00:00,1356.50,1366.50,1331.00,1337.75,29199,1370.97,1417.24,16.06,28.35,-5.17,0.00,31.18,70.00,30.00,0.31,-22.66,-16.73,-5.93,0.00,91.94,-6.18,98.95,97.35
2/28/2000,16:00:00,1340.50,1366.00,1327.50,1348.25,29642,1366.84,1414.53,13.88,24.98,-1.37,0.00,34.89,70.00,30.00,0.73,-23.18,-18.02,-5.16,0.00,76.22,-6.25,99.81,98.46
2/29/2000,16:00:00,1350.25,1374.00,1350.00,1372.00,23115,1367.78,1412.87,19.04,22.30,-2.05,0.00,42.45,70.00,30.00,1.07,-21.43,-18.71,-2.73,0.00,48.26,-5.76,101.22,100.38
3/1/2000,16:00:00,1373.50,1388.75,1371.00,1384.75,22867,1370.86,1411.76,32.09,20.97,-2.26,0.00,46.07,70.00,30.00,0.94,-18.80,-18.73,-0.08,0.00,27.99,-4.64,101.85,101.50
3/2/2000,16:00:00,1382.25,1390.50,1372.50,1385.00,23168,1373.43,1410.71,44.70,21.52,-2.07,0.00,46.14,70.00,30.00,0.32,-16.51,-18.28,1.78,0.00,12.88,-4.49,101.42,101.57
3/3/2000,16:00:00,1385.25,1414.50,1383.75,1410.50,21689,1380.17,1410.70,60.29,25.66,-1.78,0.00,52.99,70.00,30.00,0.96,-12.48,-17.12,4.64,0.00,4.60,-2.80,102.20,103.26
3/6/2000,16:00:00,1411.00,1412.25,1386.25,1395.00,18876,1382.87,1410.09,72.22,32.12,-2.53,0.00,48.92,70.00,30.00,0.07,-10.43,-15.78,5.36,0.00,22.41,-2.93,100.40,101.82
3/7/2000,16:00:00,1394.75,1404.50,1351.00,1352.00,28955,1377.26,1407.81,63.99,37.78,-5.26,0.00,39.78,70.00,30.00,0.18,-12.13,-15.05,2.92,0.00,71.84,-3.51,97.59,98.65
3/8/2000,16:00:00,1353.75,1376.00,1348.50,1365.75,26294,1375.16,1406.16,49.81,41.34,-5.53,0.00,43.42,70.00,30.00,0.87,-12.22,-14.49,2.26,0.00,56.03,-5.43,98.85,99.64
3/9/2000,16:00:00,1366.25,1405.00,1357.50,1404.00,3559,1380.41,1406.08,53.30,45.48,-1.02,0.00,52.09,70.00,30.00,0.83,-9.11,-13.41,4.30,0.00,12.07,-1.67,101.34,102.07
3/10/2000,16:00:00,1403.50,1415.50,1394.25,1399.00,1841,1383.79,1405.80,71.09,51.84,-1.37,0.00,50.99,70.00,30.00,0.54,-6.97,-12.12,5.16,0.00,24.63,-0.77,101.15,101.26
3/13/2000,16:00:00,1412.25,1418.25,1381.25,1401.75,25508,1387.05,1405.64,83.63,59.01,0.41,0.00,51.60,70.00,30.00,0.52,-4.99,-10.69,5.71,0.00,23.66,0.00,101.25,101.07
3/14/2000,16:00:00,1400.50,1414.25,1376.75,1380.50,27280,1385.86,1404.65,73.75,63.64,-1.27,0.00,46.79,70.00,30.00,0.33,-5.07,-9.57,4.50,0.00,54.12,-0.29,99.30,99.47
3/15/2000,16:00:00,1379.25,1417.50,1374.50,1412.75,29536,1390.75,1404.97,78.05,67.35,0.25,0.00,53.82,70.00,30.00,0.86,-2.51,-8.16,5.65,0.00,7.89,-0.05,100.94,101.59
3/16/2000,16:00:00,1416.00,1481.50,1413.50,1479.50,28693,1406.89,1407.89,86.51,70.26,6.23,0.00,64.34,70.00,30.00,1.01,4.85,-5.56,10.41,0.00,1.50,0.00,104.58,105.67
3/17/2000,16:00:00,1476.00,1497.75,1468.25,1488.50,22837,1421.73,1411.06,95.96,72.90,7.43,0.00,65.48,70.00,30.00,0.62,11.28,-2.19,13.47,0.00,6.20,0.00,103.90,105.73
3/20/2000,16:00:00,1487.00,1490.50,1466.75,1478.00,21786,1431.96,1413.68,93.45,76.17,9.16,0.00,62.95,70.00,30.00,0.08,15.35,1.32,14.03,0.00,13.23,-0.52,102.08,104.37
3/21/2000,16:00:00,1479.75,1514.25,1463.25,1507.75,24104,1445.74,1417.37,92.68,80.94,11.81,0.00,66.86,70.00,30.00,0.71,20.74,5.20,15.54,0.00,4.15,0.00,102.34,105.31
3/22/2000,16:00:00,1507.00,1525.25,1504.00,1518.00,23515,1458.88,1421.32,93.19,85.37,11.29,0.00,68.10,70.00,30.00,0.82,25.54,9.27,16.27,0.00,4.81,0.00,101.58,104.91
3/23/2000,16:00:00,1516.00,1553.00,1510.00,1544.25,25343,1474.40,1426.14,95.89,88.12,13.92,0.00,71.11,70.00,30.00,0.81,31.11,13.64,17.47,0.00,4.90,0.00,102.45,105.70
3/24/2000,16:00:00,1543.00,1574.25,1535.25,1555.50,25322,1489.14,1431.21,94.28,89.31,16.28,0.00,72.31,70.00,30.00,0.77,36.01,18.11,17.90,0.00,9.39,0.00,102.29,105.34
3/27/2000,16:00:00,1552.00,1554.50,1536.00,1539.00,20322,1498.21,1435.44,90.43,91.16,14.15,0.00,67.85,70.00,30.00,-0.05,38.13,22.11,16.01,0.00,17.65,-1.45,100.40,103.26
3/28/2000,16:00:00,1541.25,1549.50,1523.00,1529.25,25502,1503.85,1439.12,85.38,91.98,11.46,0.00,65.28,70.00,30.00,0.40,38.57,25.41,13.16,0.00,27.99,-1.80,99.48,101.59
3/29/2000,16:00:00,1530.25,1541.25,1515.00,1530.00,25445,1508.61,1442.68,81.37,91.40,10.49,0.00,65.39,70.00,30.00,0.46,38.54,28.03,10.51,0.00,39.86,-2.38,99.38,100.86
3/30/2000,16:00:00,1528.00,1535.00,1493.50,1504.50,28257,1507.86,1445.10,75.24,89.10,8.63,0.00,58.69,70.00,30.00,0.12,36.04,29.63,6.41,0.00,62.84,-2.82,98.23,99.01
3/31/2000,16:00:00,1506.50,1538.75,1501.00,1517.50,25331,1509.61,1447.94,72.29,86.75,7.59,0.00,60.89,70.00,30.00,0.91,34.71,30.65,4.06,0.00,51.13,-2.51,99.57,99.68
4/3/2000,16:00:00,1513.00,1528.75,1502.00,1528.50,28109,1513.05,1451.10,71.26,84.37,9.57,0.00,62.70,70.00,30.00,0.42,34.15,31.35,2.80,0.00,56.66,-3.22,100.43,100.07
4/4/2000,16:00:00,1529.50,1544.75,1431.00,1518.25,36512,1513.99,1453.74,73.55,82.19,12.30,0.00,59.92,70.00,30.00,0.14,32.50,31.58,0.92,0.00,39.09,-2.10,99.90,99.33
4/5/2000,16:00:00,1515.75,1521.75,1491.25,1505.00,33581,1512.36,1455.75,69.48,79.25,10.20,0.00,56.43,70.00,30.00,0.11,29.79,31.22,-1.43,0.00,48.34,-3.82,99.36,98.55
4/6/2000,16:00:00,1501.75,1530.75,1501.75,1516.50,25748,1513.11,1458.13,63.67,75.85,8.01,0.00,58.68,70.00,30.00,0.89,28.24,30.63,-2.39,0.00,30.77,-3.10,99.96,99.48
4/7/2000,16:00:00,1519.75,1535.00,1513.75,1529.50,23928,1516.09,1460.93,61.60,72.65,9.33,0.00,61.12,70.00,30.00,0.87,27.74,30.05,-2.31,0.00,16.88,-2.77,100.65,100.51
4/10/2000,16:00:00,1530.00,1544.00,1518.00,1521.00,25503,1516.98,1463.28,63.76,70.25,8.51,0.00,58.68,70.00,30.00,0.56,26.35,29.31,-2.96,0.00,20.88,-2.13,100.19,100.07
4/11/2000,16:00:00,1518.50,1529.25,1497.50,1517.75,32039,1517.12,1465.42,64.05,68.32,9.94,0.00,57.73,70.00,30.00,0.26,24.71,28.39,-3.68,0.00,23.74,-3.18,99.99,99.93
4/12/2000,16:00:00,1519.75,1524.50,1475.00,1475.75,31705,1509.60,1465.82,51.54,65.69,4.46,0.00,47.11,70.00,30.00,0.14,19.78,26.67,-6.88,0.00,60.66,-3.51,97.60,97.51
4/13/2000,16:00:00,1479.00,1492.50,1451.25,1456.00,32901,1499.85,1465.44,36.42,61.70,-1.59,0.00,43.10,70.00,30.00,0.41,14.13,24.16,-10.03,0.00,78.02,-5.52,97.07,96.51
4/14/2000,16:00:00,1455.00,1462.75,1347.00,1367.25,37584,1475.74,1461.59,18.22,55.81,-8.15,0.00,30.52,70.00,30.00,0.06,2.46,19.82,-17.36,0.00,89.76,-7.44,93.17,91.54
4/17/2000,16:00:00,1349.00,1414.50,1344.50,1413.50,36305,1464.43,1459.70,20.56,49.92,-4.36,0.00,40.30,70.00,30.00,0.68,-3.03,15.25,-18.28,0.00,65.41,-10.72,97.75,95.37
4/18/2000,16:00:00,1409.75,1455.50,1401.00,1452.50,34866,1462.26,1459.42,32.19,45.78,-3.66,0.00,47.07,70.00,30.00,0.77,-4.18,11.36,-15.54,0.00,45.86,-7.84,101.36,98.44
4/19/2000,16:00:00,1449.00,1460.00,1435.25,1440.50,30931,1458.30,1458.68,45.09,43.71,-5.11,0.00,45.36,70.00,30.00,0.30,-5.99,7.89,-13.88,0.00,51.88,-7.49,101.02,98.06
4/20/2000,16:00:00,1442.75,1447.00,1431.50,1446.75,21232,1456.20,1458.21,50.98,42.53,-6.31,0.00,46.45,70.00,30.00,0.42,-6.84,4.95,-11.79,0.00,48.75,-8.19,101.59,98.95
4/24/2000,16:00:00,1439.00,1441.00,1417.00,1437.50,32141,1452.80,1457.40,48.48,40.84,-7.59,0.00,45.02,70.00,30.00,-0.24,-8.17,2.32,-10.49,0.00,49.66,-7.21,99.95,98.94
4/25/2000,16:00:00,1440.00,1489.75,1437.25,1489.50,26645,1459.47,1458.66,56.64,40.01,-3.22,0.00,53.65,70.00,30.00,1.00,-4.97,0.86,-5.83,0.00,19.44,-3.84,102.49,102.75
4/26/2000,16:00:00,1486.25,1495.25,1467.00,1474.00,27267,1462.12,1459.26,61.25,41.09,-3.61,0.00,51.08,70.00,30.00,0.20,-3.64,-0.04,-3.60,0.00,14.10,-3.19,101.12,101.98
4/27/2000,16:00:00,1473.25,1480.75,1440.50,1468.00,32334,1463.19,1459.60,66.42,44.42,-4.05,0.00,50.07,70.00,30.00,0.17,-3.04,-0.64,-2.40,0.00,18.08,-4.15,100.33,101.62
4/28/2000,16:00:00,1469.50,1487.25,1458.00,1460.50,24284,1462.70,1459.64,61.65,49.25,-2.92,0.00,48.79,70.00,30.00,0.66,-3.13,-1.13,-1.99,0.00,23.05,-3.75,99.63,101.07
5/1/2000,16:00:00,1458.75,1492.75,1458.75,1476.75,26346,1465.25,1460.31,62.11,53.87,-2.69,0.00,51.68,70.00,30.00,0.95,-1.87,-1.28,-0.59,0.00,19.63,-3.38,100.20,101.43
5/2/2000,16:00:00,1477.25,1478.50,1449.00,1451.50,28321,1462.75,1459.96,60.86,57.05,-5.04,0.00,47.21,70.00,30.00,0.06,-2.87,-1.60,-1.27,0.00,55.91,-4.33,99.00,99.43
5/3/2000,16:00:00,1446.00,1450.00,1404.50,1422.50,33271,1455.43,1458.49,56.23,58.29,-6.31,0.00,42.65,70.00,30.00,-0.03,-5.94,-2.47,-3.47,0.00,80.17,-6.09,97.71,97.65
5/4/2000,16:00:00,1424.50,1428.75,1411.50,1423.50,27343,1449.63,1457.12,51.21,58.32,-5.42,0.00,42.86,70.00,30.00,0.36,-8.20,-3.61,-4.58,0.00,79.06,-7.57,98.38,97.83
5/5/2000,16:00:00,1423.75,1446.00,1406.00,1440.00,24614,1447.88,1456.45,52.44,58.76,-5.04,0.00,46.27,70.00,30.00,0.56,-8.55,-4.60,-3.95,0.00,60.88,-6.40,99.80,99.01
5/8/2000,16:00:00,1435.00,1439.50,1424.50,1430.75,24982,1444.76,1455.44,57.66,58.87,-6.46,0.00,44.66,70.00,30.00,-0.03,-9.48,-5.58,-3.90,0.00,71.07,-6.81,99.80,98.42
5/9/2000,16:00:00,1431.25,1439.75,1409.50,1419.25,29233,1440.12,1454.02,50.54,57.68,-6.69,0.00,42.67,70.00,30.00,0.30,-11.01,-6.66,-4.34,0.00,83.29,-5.80,99.44,98.10
5/10/2000,16:00:00,1421.00,1425.75,1383.00,1388.50,34376,1430.74,1451.45,30.79,53.72,-8.52,0.00,37.82,70.00,30.00,0.15,-14.53,-8.24,-6.30,0.00,94.99,-6.46,97.75,96.55
5/11/2000,16:00:00,1383.50,1419.00,1382.50,1415.50,27924,1427.97,1450.04,17.78,48.85,-4.08,0.00,43.86,70.00,30.00,0.84,-14.98,-9.59,-5.39,0.00,70.07,-5.00,99.77,98.79
5/12/2000,16:00:00,1417.00,1438.75,1414.25,1431.25,23996,1428.56,1449.31,25.83,44.81,-1.70,0.00,47.08,70.00,30.00,0.95,-13.90,-10.45,-3.45,0.00,49.22,-3.79,101.00,100.09
5/15/2000,16:00:00,1429.50,1459.50,1423.25,1457.50,23176,1433.83,1449.63,46.34,43.20,6.60,0.00,52.03,70.00,30.00,0.78,-10.80,-10.52,-0.28,0.00,2.60,-2.44,102.47,102.06
5/16/2000,16:00:00,1457.75,1478.75,1456.25,1471.75,26306,1440.72,1450.50,62.97,43.95,4.12,0.00,54.52,70.00,30.00,0.94,-7.11,-9.84,2.72,0.00,7.27,-1.17,102.71,102.92
5/17/2000,16:00:00,1467.00,1467.00,1448.25,1456.75,27416,1443.64,1450.74,71.03,46.15,0.29,0.00,51.49,70.00,30.00,-0.25,-5.34,-8.94,3.60,0.00,22.86,-1.94,100.71,101.62
5/18/2000,16:00:00,1452.00,1465.75,1441.50,1441.75,25505,1443.29,1450.39,66.84,47.75,0.09,0.00,48.59,70.00,30.00,0.37,-5.09,-8.17,3.08,0.00,38.44,-2.02,99.31,100.45
5/19/2000,16:00:00,1439.50,1444.25,1407.00,1415.50,26389,1438.24,1449.02,50.34,46.94,-2.16,0.00,43.92,70.00,30.00,0.07,-6.92,-7.92,0.99,0.00,65.71,-3.52,97.71,98.79
5/22/2000,16:00:00,1411.50,1423.25,1372.50,1404.50,33803,1432.10,1447.27,38.03,45.55,-2.30,0.00,42.09,70.00,30.00,0.15,-9.16,-8.17,-0.99,0.00,69.88,-5.00,97.67,98.20
5/23/2000,16:00:00,1405.50,1411.50,1378.75,1382.50,31958,1423.09,1444.73,23.24,44.71,-7.18,0.00,38.64,70.00,30.00,0.21,-12.57,-9.05,-3.52,0.00,90.59,-5.62,97.35,96.91
5/24/2000,16:00:00,1383.25,1408.00,1365.50,1402.25,38242,1419.30,1443.07,24.17,45.42,-4.87,0.00,43.15,70.00,30.00,0.60,-13.51,-9.94,-3.57,0.00,67.55,-5.67,99.50,98.20
5/25/2000,16:00:00,1402.75,1417.75,1378.00,1389.25,29470,1413.83,1440.96,21.19,44.91,-5.36,0.00,41.01,70.00,30.00,0.39,-15.14,-10.98,-4.16,0.00,79.03,-5.07,99.32,97.47
5/26/2000,16:00:00,1388.00,1396.50,1373.25,1382.25,24726,1408.09,1438.65,22.74,42.28,-5.36,0.00,39.87,70.00,30.00,0.31,-16.80,-12.14,-4.66,0.00,85.21,-6.47,99.29,97.31
5/30/2000,16:00:00,1388.00,1428.75,1386.75,1427.25,24878,1411.58,1438.21,30.10,38.63,-3.35,0.00,49.61,70.00,30.00,1.11,-14.32,-12.58,-1.74,0.00,39.16,-3.35,102.19,100.70
5/31/2000,16:00:00,1428.75,1439.00,1419.50,1422.00,30243,1413.47,1437.57,39.74,35.15,-2.03,0.00,48.62,70.00,30.00,0.60,-12.63,-12.59,-0.04,0.00,43.64,-2.69,101.24,100.68
6/1/2000,16:00:00,1421.00,1453.75,1421.00,1451.75,27589,1420.43,1438.13,60.19,34.41,2.06,0.00,54.20,70.00,30.00,0.97,-8.79,-11.83,3.04,0.00,2.27,-1.72,102.63,102.82
6/2/2000,16:00:00,1450.50,1492.00,1447.00,1475.75,23079,1430.49,1439.60,71.67,36.78,3.67,0.00,58.15,70.00,30.00,0.89,-3.77,-10.22,6.45,0.00,12.85,0.00,103.07,104.27
