Date, Time, Open, High, Low, Close, Volume, AvgExp, AvgExp, %K, %D, ROC, ZeroLine, RSI, OverBot, OverSld, ACCUMULATION_DISTRIBUTION, MACD, MACDAvg, MACDDiff, ZeroLine, WILLIAMS_R, HIGH_PRICE_ACCELERATION, DISPARITY_5, DISPARITY_10
12/23/2010,16:00:00,1254.25,1255.75,1249.25,1252.75,588214,1241.78,1204.18,97.36,94.09,4.4,0,68.87,70,30,0.19,14.85,13.4,1.44,0,10.62,0,100.42,100.84
12/27/2010,16:00:00,1249.5,1254.25,1245.5,1253.5,583930,1243.91,1206.12,95.75,94.27,5.94,0,69.17,70,30,0.17,14.88,13.7,1.18,0,7.96,-0.13,100.24,100.8
12/28/2010,16:00:00,1253.5,1256.5,1251.5,1253.75,553980,1245.7,1207.98,93.42,94.17,5.6,0,69.27,70,30,0.6,14.76,13.91,0.85,0,9.48,0,100.06,100.68
12/29/2010,16:00:00,1253.75,1258.5,1253.25,1256.5,587825,1247.67,1209.89,94.17,94.64,6.69,0,70.47,70,30,0.9,14.72,14.07,0.65,0,6.45,0,100.18,100.74
12/30/2010,16:00:00,1256.5,1257.5,1251.5,1254.75,710131,1248.95,1211.65,92.44,94.78,4.19,0,68.64,70,30,0.17,14.38,14.13,0.24,0,15.31,-0.08,100.04,100.42
12/31/2010,16:00:00,1254.75,1257.75,1249.5,1257.5,664448,1250.51,1213.44,93.53,94.93,2.86,0,69.96,70,30,0.36,14.17,14.14,0.03,0,4.08,-0.06,100.18,100.49
1/3/2011,16:00:00,1256,1272.5,1255.25,1265.25,1596155,1253.19,1215.48,88.89,94.28,3.39,0,73.37,70,30,0.87,14.46,14.2,0.25,0,23.02,0,100.61,100.9
1/4/2011,16:00:00,1265.25,1270,1258.25,1265.5,1762825,1255.43,1217.44,87.4,93.34,3.64,0,73.47,70,30,0.4,14.54,14.27,0.27,0,25.93,-0.2,100.44,100.72
1/5/2011,16:00:00,1265,1273.75,1255.75,1271,1783605,1258.26,1219.54,87.52,92.27,4.05,0,75.73,70,30,0.46,14.88,14.39,0.49,0,9.73,0,100.65,100.99
1/6/2011,16:00:00,1271,1277,1266.25,1269.5,1595533,1260.3,1221.5,87.74,91.21,3.21,0,73.89,70,30,0.56,14.85,14.49,0.37,0,23.81,0,100.3,100.75
1/7/2011,16:00:00,1269.5,1274,1257.75,1267.25,2164178,1261.57,1223.29,85.59,90.08,2.84,0,71.08,70,30,0.28,14.49,14.49,0,0,35.45,-0.24,99.96,100.46
1/10/2011,16:00:00,1266.25,1268,1258,1265,1879214,1262.19,1224.93,78.41,88.41,1.93,0,68.3,70,30,0.07,13.85,14.36,-0.51,0,43.64,-0.72,99.79,100.19
1/11/2011,16:00:00,1265.5,1273.75,1264,1269.5,1620211,1263.52,1226.68,76.02,86.39,2.69,0,70.77,70,30,0.9,13.56,14.2,-0.64,0,27.27,-0.26,100.08,100.42
1/12/2011,16:00:00,1269.5,1284.25,1269.25,1282.75,1602372,1267.02,1228.87,82.17,85.25,3.74,0,76.56,70,30,0.98,14.23,14.21,0.03,0,4.32,0,100.94,101.26
1/13/2011,16:00:00,1282.75,1284.5,1276.25,1282.75,1676554,1269.88,1230.99,90.55,84.92,4.06,0,76.56,70,30,0.21,14.59,14.28,0.31,0,5.98,0,100.73,101.04
1/14/2011,16:00:00,1284,1290,1274.25,1290,1608941,1273.54,1233.3,97.34,85.86,4.12,0,79.18,70,30,0.46,15.29,14.49,0.81,0,0,0,100.94,101.35
1/17/2011,16:00:00,1289.5,1291.5,1282.75,1285.25,168777,1275.67,1235.34,93.63,86.55,3.77,0,73.39,70,30,0.17,15.29,14.65,0.64,0,17.48,0,100.25,100.82
1/18/2011,16:00:00,1285.5,1296.25,1284,1293.25,1525714,1278.86,1237.61,93.06,87.17,4.17,0,76.5,70,30,0.9,15.74,14.86,0.88,0,7.79,0,100.5,101.22
1/19/2011,16:00:00,1293.5,1296.25,1275,1278.25,2298504,1278.75,1239.2,79.89,86.29,2.24,0,61.89,70,30,0.14,14.73,14.84,-0.11,0,46.75,0,99.41,99.99
1/20/2011,16:00:00,1278,1281.5,1267.5,1277.5,2521593,1278.52,1240.71,71.66,84.75,1.83,0,61.26,70,30,0.23,13.7,14.61,-0.91,0,49.02,-1.18,99.43,99.87
1/21/2011,16:00:00,1277.25,1288,1273.25,1280.25,1999966,1278.84,1242.26,60.78,82.79,2.2,0,62.75,70,30,0.71,12.96,14.28,-1.32,0,49.61,-0.66,99.79,99.98
1/24/2011,16:00:00,1279.5,1289.75,1277.75,1287.75,1639452,1280.46,1244.04,66.28,81.7,2.73,0,66.55,70,30,0.79,12.83,13.99,-1.16,0,29.57,-0.52,100.34,100.39
1/25/2011,16:00:00,1288,1291.75,1277,1286.75,2359284,1281.6,1245.71,72.13,80.59,2.63,0,65.59,70,30,0.27,12.51,13.7,-1.19,0,33.04,-0.36,100.36,100.18
1/26/2011,16:00:00,1287.5,1296.75,1286,1293.25,1609536,1283.72,1247.58,82.08,79.65,2.92,0,68.75,70,30,0.93,12.63,13.48,-0.85,0,11.97,0,100.63,100.6
1/27/2011,16:00:00,1292.75,1298.25,1289.25,1295,1547159,1285.77,1249.44,86.46,78.44,3.21,0,69.56,70,30,0.56,12.72,13.33,-0.61,0,10.57,0,100.5,100.64
1/28/2011,16:00:00,1294.5,1299.5,1270.5,1270.5,3225495,1282.99,1250.26,70.45,75.87,1.03,0,50.02,70,30,0.16,10.69,12.8,-2.11,0,90.63,0,98.74,98.89
